良心品牌,類型,地域,地區,地址,LATITUDE,LONGITUDE,REV_ADDR (For checking only),Map Pin Checked?,聯絡方法(電話/電郵),營業時間,資料來源,資料來源 2,Map Marked,良心行動,良心行動連結,良心行動永久備份連結
遵理學校,補習,九龍,尖沙咀,九龍尖沙咀金馬倫道30-32號金馬商業大廈１樓全層,22.2989569,114.1745324,香港尖沙咀金馬倫道30-32號金馬商業大廈,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,新界,屯門,新界屯門屯喜路2號屯門柏麗廣場2樓 239,22.390968,113.9772455,香港屯門屯喜路2號屯門栢麗廣場,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,九龍,旺角,九龍彌敦道銀座廣場1樓,22.314638,114.1701861,香港旺角彌敦道567號銀座廣場,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,新界,沙田,新界沙田大涌橋路52號富豪花園商場1樓,22.3851066,114.1988185,香港富豪花園大涌橋路52號,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,九龍,油麻地,油麻地彌敦道476號凱都中心2樓,22.3110872,114.171195,香港油麻地彌敦道476號優質教育集團中心,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,新界,荃灣,"新界荃灣兆和街23號海晴軒1樓
荃灣青山公路398號愉景新城3樓3019號",22.3722993,114.1174362,香港荃灣兆和街23號海睛軒,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,香港島,銅鑼灣,香港銅鑼灣怡和街68號2樓205-215號舖,22.2791918,114.1865586,香港銅鑼灣怡和街68號怡和街68號,,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
辛安東元祖奶奶雞,飲食,九龍,旺角,旺角白布街20號地下,22.3176818,114.1728831,香港旺角白布街2-24號藝興大廈,,2338 8221,星期一至日 12:00pm - 12:00am,https://zh-hk.facebook.com/spicyandong/,,,5/8 參與罷市,https://www.facebook.com/spicyandong/photos/a.577675198968714/2284584038277813/?type=3&theater,
走肉·朋友,飲食,九龍,大角咀,大角咀博文街28-30號地舖,22.319564,114.160796,香港大角咀角祥街2H-2L號福群樓,,2388 6280,"星期一至五 11:30 - 15:00, 18:00 - 19:30, 20:00 - 21:30
星期六至日及公眾假期 11:30 - 16:00, 18:00 - 19:30, 20:00 - 21:30
",https://www.openrice.com/zh/hongkong/r-走肉-朋友-大角咀-多國菜-素食-r548356,,Y,,,
賞茶,飲食,新界,大埔,大埔超級城 A區 地下 18b 號舖,22.4525939,114.1689861,香港大埔安邦路8號,,3101 9188,星期一至日 11:30-22:00,http://www.anicegift.net,,Y,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,九龍,大角咀,奧海城2期下G07號舖,22.3172044,114.1619682,香港旺角海庭道18號,,3468 2996,星期一至日 11:30-21:00,http://www.anicegift.net,,Y,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,香港島,太古,太古康怡廣場北座地下G13號舖,22.284579,114.216121,香港康山康盛街5號康怡花園G座,,2144 0946,NA,http://www.anicegift.net,,Y,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,九龍,太子,太子始創中心地下 Kiosk B,22.322552,114.16911,香港旺角彌敦道750號,,3122 0634,NA,http://www.anicegift.net,,Y,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,將軍澳,將軍澳中心一樓137A 號舖,22.3067844,114.25681,"新界將軍澳唐德街9號將軍澳中心(Park Central) 地下G47號鋪 G/F, Shop G47, Park Central Shopping Centre, 9 Tong Tak St, Tseung Kwan O, 香港",,3101 1929,星期一至日 11:30-22:00,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,屯門,屯門時代廣場南翼2樓6號舖,22.3920295,113.9759358,香港屯門屯合街2號屯門時代廣場南翼,,2144 0946,NA,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,九龍,樂富,樂富廣場 Food Square 1 樓1116號舖,22.3390455,114.1871474,香港橫頭磡聯合道198號樂富廣場 A區,,3188 4613,星期一至日 11:30-21:30,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,沙田,沙田希爾頓中心3樓37R號舖,22.3800034,114.1868188,香港沙田沙田正街3-9號希爾頓中心D座,,3580 1207,NA,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,沙田,沙田瀝源廣場217號舖,22.384516,114.191862,香港沙田瀝源街6號瀝源邨華豐樓,,2688 0130,星期一至日 11:30-21:00,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,九龍,深水埗,欽州街94號黃金中心地下4-5號舖,22.3324576,114.1619376,香港元洲欽州街94號黃金中心,,2729 9188,星期一至日 11:30-22:00,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,荃灣,荃灣廣場1樓131及131A號舖,22.370735,114.111309,香港荃灣大壩街4-30號,,3102 1933,星期一至日 11:30-22:00,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,九龍,鑽石山,荷里活廣場3樓324號舖,22.340633,114.2020468,香港大磡龍蟠街3號荷里活廣場,,2348 3768,星期一至日 11:00-21:30,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,青衣,青衣港鐵站 TSY 304號舖,22.3587395,114.1074555,香港青衣青敬路33號,,2449 9927,NA,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,新界,馬鞍山,馬鞍山保泰街 WeGoMall 1樓102號舖,22.4140914,114.2238443,香港馬鞍山保泰街16號,,3102 9571,星期一至日 12:000-21:30,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
賞茶,飲食,九龍,黃大仙,黃大仙中心北館G04C舖,22.34137,114.1944081,香港竹園正德街103號黃大仙中心,,3586 9840,星期一至日 11:30-21:30,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
豪大大雞扒（藍田/馬鞍山分店）,飲食,九龍,藍田,藍田啟田道50號啟田商場地下L-KT1084號鋪,22.308714,114.234947,香港藍田啓田道50號,,/,/,http://www.hotstar.com.tw/TW/Retail/ugC_Retail.asp?hidRetailID=236&#Pagecontent,,,,,
豪大大雞扒（藍田/馬鞍山分店）,飲食,新界,馬鞍山,恆安邨恆安商場地下恆安市場M-HO34號,22.4170362,114.2279917,"馬鞍山 恆 安 邨 恆 安 商場 四 樓, Ma On Shan, 香港",,96522350,/,http://www.hotstar.com.tw/TW/Retail/ugC_Retail.asp?hidRetailID=236&#Pagecontent,,,,,
西麵 Westnoodle,飲食,新界,屯門,屯門屯利街1號華都商場地下60號舖,22.3918997,113.9782009,香港屯門屯利街1號華都大道,,3997 3827,星期一至日 11:00 - 22:00,https://www.openrice.com/zh/hongkong/r-%E8%A5%BF%E9%BA%B5-%E5%B1%AF%E9%96%80-%E8%A5%BF%E5%BC%8F-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r576883,,,5/8 收入捐予612人道支援基金,https://www.instagram.com/p/B0vLpJVgUJl/?utm_source=ig_web_button_share_sheet,
蜜庵本膳,飲食,九龍,尖沙嘴,尖沙嘴赫德道8號地下A號舖,22.2981918,114.1747291,香港尖沙咀赫德道8號,,24610888,星期一至四、日12nn-10pm；星期五至六12nn-11pm,https://www.openrice.com/zh/hongkong/r-蜜庵本膳-尖沙咀-日本菜-r598095,,,向店員講一句「香港加油」，餐廳都會送一杯自家製雪糕。每日數量不限，直至雪糕機沒有雪糕為止。,https://hk.lifestyle.appledaily.com/etw/magazine/article/20190819/3_59936198/-%E9%80%86%E6%AC%8A%E9%81%8B%E5%8B%95-%E5%B0%96%E6%B2%99%E5%98%B4%E6%97%A5%E5%BC%8F%E7%94%9C%E5%93%81%E5%BA%97%E7%89%B9%E8%A3%BDPancake-%E8%AC%9B-%E9%A6%99%E6%B8%AF%E5%8A%A0%E6%B2%B9-%E5%8D%B3%E9%80%81%E5%85%8D%E8%B2%BB%E9%9B%AA%E7%B3%95Pancake-%E8%80%81%E9%97%86-%E5%B9%AB%E5%A4%A7%E5%AE%B6%E6%B6%88%E6%9A%91,
華爾登麵包餅店,飲食 (月餅）,香港島,西營盤,西環西營盤第二街120-126號仁福大廈地舖,22.2860715,114.1396854,香港西營盤第二街120-126號仁福大廈地舖,,2915 2263,星期一至日8:30 am - 8:00pm,https://www.openrice.com/zh/hongkong/r-華爾登麵包餅店-西環-港式-麵包店-r479894,,,為抗爭者提供食物,https://www.facebook.com/wahyeetangcakeshop/photos/a.476116095839668/2374585989325993/?type=3&theater,
菓。紫龍,零售,新界,大埔,大埔昌運中心一樓43號舖,22.452215,114.167932,"Shop 100, 1/F, Fortune Plaza, Tai Po, NT, 香港",,91588608,/,https://www.facebook.com/PurpleDragonSnack/,,,"10/8 香港人加油
小店已準備好飲品乾糧
(特別鳴謝:捐贈飲品既市民,同埋一班學生)",https://www.facebook.com/PurpleDragonSnack/photos/a.466708583814765/650405812111707/?type=3,
花花草草,零售,香港島,太古城,香港太古城道18號太古城中心1/F 144號舖 專櫃L199,22.2864183,114.2167987,香港太古城太古城道18B號太古城海天花園逸天閣,,N/A,星期一至日 10:00am - 10:00pm,https://www.facebook.com/fafachocho2019/,,N/A,,,
花花草草,零售,香港島,銅鑼灣,香港銅鑼灣軒尼詩道500號希慎廣場10樓 專櫃L1015,22.279642,114.183826,香港銅鑼灣軒尼詩道希慎廣場,,N/A,星期一至日 10:00am - 10:00pm,https://www.facebook.com/fafachocho2019/,,,,,
花火洋食,飲食,新界,屯門,屯門龍門路54號屯門高爾夫球中心餐廳,22.3824965,113.9630847,香港屯門龍門路54號屯門高爾夫球中心,,93888472,"星期一全日休息
星期二至日12:00 - 21:30",https://www.facebook.com/花火洋食-2060788927524492/,https://www.openrice.com/zh/hongkong/r-花火洋食-屯門-西式-all-day-breakfast-r584161,,12/8 機場見 及派水,https://www.facebook.com/permalink.php?story_fbid=2366664310270284&id=2060788927524492&substory_index=0,
芋圓圓,飲食,九龍,太子,太子柏樹街1號地舖,22.324619,114.1659742,香港旺角柏樹街1號柏樹街1號,,55430154,星期一至日15:00 - 23:00,https://www.openrice.com/zh/hongkong/r-芋圓圓-太子-港式-r632217,https://www.facebook.com/Sweet_taro_taro-芋圓圓-902391433272657/,,5/8 罷工,https://www.facebook.com/permalink.php?story_fbid=1256344984543965&id=902391433272657,
脆意雞,飲食,香港島,筲箕灣,筲箕灣筲箕灣道273號地舖 ,,,,,29048644,"
星期一至日 12:00 - 22:00",https://hk.lifestyle.appledaily.com/lifestyle/realtime/article/20190811/59915004,,,5/8 罷工,https://www.facebook.com/skwpizzapie/posts/2347005315394519,
肥後屋,飲食,香港島,銅鑼灣,銅鑼灣信德街9至11號百威商業大廈地下2-3號铺,22.279281,114.188639,香港銅鑼灣信德街9-11號,,93171952,只接受預訂,https://www.facebook.com/Fei4Hau6Uk1/,https://www.openrice.com/zh/hongkong/r-肥後屋-銅鑼灣-日本菜-r588689,,5/8 罷工,https://www.instagram.com/p/B0gXBFOgcZW/,
老二花廳,飲食,九龍,旺角,旺角山東街80號2/F,22.317795,114.172317,香港旺角山東街80-88號山東街80-88號,,5667 3653,星期一至日3:00pm - 12:00am,https://zh-hk.facebook.com/loyifaateng,,,5/8 參與罷市,https://www.facebook.com/loyifaateng/photos/rpp.227070044323865/899120067118856/?type=3&theater,
綠野林,飲食,九龍,尖沙咀,尖沙咀加拿分道2號13樓,22.2978162,114.1726855,香港尖沙咀加拿分道2號金城商業中心,,34282416,"星期一至五12:00 - 15:00; 
星期六12:00 - 17:00; 
星期日, 公眾假期 全日休息",https://www.openrice.com/zh/hongkong/r-綠野林-生-活-素餐廳-尖沙咀-西式-沙律-r569953,https://www.facebook.com/greenwoodshk/posts/1633224020144169,,5/8 罷工,,
素食媽咪,飲食,新界,荃灣,荃灣德士古道62-70號寶業大廈B座5樓501室,22.325145,114.165308,香港太子荔枝角道130號荔枝角道130號,,27870389,星期一全日休息; 星期二至日 12:00 - 21:30,https://www.facebook.com/VeggieMami/?rf=104108733070343,,,5/8 參與罷市,https://www.facebook.com/VeggieMami/photos/rpp.412189582153440/2426167804088931/?type=3&theater,
素街 Veggie Guy．素食自助餐,飲食,九龍,觀塘,觀塘駿業街56號中海日升中心1樓B舖,,,,,9851 6252,"星期一至日 11:45 - 16:00, 18:00 - 21:30",https://www.facebook.com/hkveggieguy/,,,24/8 午餐時段將提供素食一小時快閃任食自助餐,https://www.facebook.com/hkveggieguy/photos/a.1558280527642386/1593751787428593/?type=3&theater,
素悅軒,飲食,新界,荃灣,荃灣兆和街25號海晴軒15號舖,22.312401,114.225222,香港觀塘apm創紀之城5期,,6709 7099,星期一至日 12:00pm - 8:00pm,https://www.facebook.com/uppacase.hk/,,,5/8 參與罷市,https://www.facebook.com/SoYuetHin/posts/858162017890789,
素心 • 純素護膚品,美容,九龍,觀塘,"觀塘成業街19-21號成業工業大廈7樓29室
NIL ",22.3100594,114.2271209,香港觀塘成業街19-21號成業工業大廈,,97168254,14:00 - 19:30,https://www.facebook.com/sosum.soap/,,,5/8 罷工,https://www.facebook.com/sosum.soap/posts/2548866325145753,
素年,飲食,九龍,深水埗,深水埗福華街191-199號福隆大廈1號地舖,22.332573,114.160693,香港菴由福華街191-199號福隆大廈,,63383719,星期一至日12:00 - 22:00,https://www.openrice.com/zh/hongkong/r-素年-深水埗-西式-素食-r616992,,,"12/6, 5/8 罷市",https://www.facebook.com/groups/veggieyouth/permalink/10156987512790283/,
糖妹,飲食,香港島,筲箕灣,筲箕灣愛禮街2號愛蝶灣地下23A號舖,,,,,,,https://www.openrice.com/zh/hongkong/r-%E7%B3%96%E5%A6%B9-%E7%AD%B2%E7%AE%95%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E4%B8%AD%E5%BC%8F%E7%B3%96%E6%B0%B4-r637550,telegram photo,,5/8 罷工,,
籽樂廚房 Sowergift Kitchen,飲食,九龍,尖沙咀,尖沙咀山林道38號銀座38 3樓,22.3026708,114.1740091,香港尖沙咀山林道38-40A號山林大廈,,26680450,星期一至日 12pm - 10.30pm,https://www.facebook.com/sowergiftkitchen/,,,,,
筷賞,飲食,新界,將軍澳,將軍澳常寧路2號TKO Gateway地下EF06號舖,22.3171998,114.2659481,香港坑口重華路8號,,23509309,,https://www.openrice.com/zh/hongkong/r-筷賞-將軍澳-港式-r561912,,,為抗爭者提供食物,https://www.facebook.com/groups/junkbay/permalink/2499209933689143/,
笑麵虎車仔麵,飲食,香港島,灣仔,灣仔皇后大道東94號地舖,22.2763515,114.1699101,香港灣仔皇后大道東94號,,23273993,"星期一至五 07:30 - 20:00; 星期六
11:00 - 16:00; 星期日 全日休息",https://www.openrice.com/zh/hongkong/r-笑麵虎車仔麵-灣仔-港式-車仔麵-r580675,,,5/8 罷工,https://www.facebook.com/watch/?v=915295305484652,
程班長台灣美食,飲食,九龍,荔枝角,荔枝角長沙灣道883號億利工業中心1樓102室,22.3367772,114.1473646,香港長沙灣長沙灣道883號億利工業中心,,2576 1199,星期一至六11:30am - 9:00pm,https://www.openrice.com/zh/hongkong/r-程班長台灣美食,,,5/8 支持罷市,https://www.facebook.com/yes158,
神經餵飼,飲食,九龍,太子,砵蘭街434號,22.3258434,114.1675016,香港太子砵蘭街430-436A號利聯大廈,,/,"週一定休, 二至日 12pm-9pm",https://www.instagram.com/feedyournerves/,,,12/6 罷工,https://www.instagram.com/p/Byj2wlUH8Wp/?utm_source=ig_web_button_share_sheet,
睦月,工藝,Online shop,Online shop,MUTSUKI 睦月（日本の伝統工芸）,,,,,,,https://www.facebook.com/MUTSUKI-睦月日本の伝統工芸-1875772075989605/,https://www.facebook.com/permalink.php?story_fbid=2451706078396199&id=1875772075989605,,不再接待所有支持警察的顧客,,
皇茶 Royaltea by Tea Circle,飲食,九龍,油麻地,旺角廣華街1號仁安大廈地下22號舖,22.3159648,114.1727523,香港旺角廣華街1號仁安大廈A座,,"23201333
92121622 (Whatsapp外賣)",星期一至日 12:00 - 23:00,https://www.openrice.com/zh/hongkong/r-皇茶-旺角-台灣菜-台式飲品-r536268,,,5/8 罷工、支援示威,https://www.facebook.com/417399898629601/posts/881726078863645?,
皂然工房,零售,Online shop,Online shop,Online shop,,,,,/,/,https://www.facebook.com/皂然工房Innoscent-379509865879096/,,,"12/6, 5/8 罷市; 拒絕所有藍絲黑警警嫂撐警撐政府兼埋沒良知的人所下的訂單",https://www.facebook.com/permalink.php?story_fbid=645414709288609&id=379509865879096,
甜圓,飲食,新界,葵芳,葵芳葵富路7號葵涌廣場1樓B65A號舖,22.358183,114.127704,香港葵芳葵富路7-11號葵涌廣場,,6105 9839,星期四至二 2:00pm - 10:00pm,https://zh-hk.facebook.com/NSnaturalsweet,,,5/8 參與罷市,https://www.facebook.com/NSnaturalsweet/posts/2741769532517072,
甜品森林,飲食,九龍,美孚,美孚美孚新邨六期恆柏街2-8號N29C1舖,22.3389708,114.1396568,香港美孚美孚新邨六期恆柏道2-4號N291C,,69795156,"星期一12:30 - 23:30
星期二19:30 - 23:30
星期三至日12:30 - 23:30",https://www.openrice.com/zh/hongkong/r-甜品森林-美孚-港式-甜品-糖水-r22799,,,,,
甜一刻,飲食,九龍,深水埗,長沙灣福榮街218號美居中心62號舖地下,22.3347224,114.1593392,香港菴由元州街213號美居中心7座,,3568 6757,"星期一至四 16:00 - 01:00; 星期五至六
16:00 - 02:00; 星期日16:00 - 01:00",https://www.instagram.com/sweetmomentdessert/,https://www.openrice.com/zh/hongkong/r-甜一刻-長沙灣-西式-甜品-糖水-r166905,,提供免費食物,https://www.instagram.com/p/B0gedObn4CN/?utm_source=ig_web_button_share_sheet,
甘露甜品,飲食,九龍,土瓜灣,土瓜灣美景街 50 號,22.316861,114.1911218,香港土瓜灣美光街33-45號安順大廈,,23633835,星期一至日 12:30 - 00:30,https://www.openrice.com/zh/hongkong/r-甘露甜品-土瓜灣-粵菜-廣東-甜品-糖水-r1563,,,17/8 支援示威,https://hk.lifestyle.appledaily.com/lifestyle/realtime/article/20190817/59939186,
甘薯葉,零售,香港島,北角,錦屏街7-15號地下C舖,22.2907032,114.2000432,香港北角錦屏街7-15號錦明園,,2485 3853,星期一至日 10:00 - 20:00,https://www.batatagreens.com.hk/,,,,,
甘薯葉,零售,九龍,太子,洗衣街241-243號地下A舖,22.3260915,114.1702484,香港太子洗衣街241-243號瑞珍閣,,2485 3523,星期一至日 10:00 - 20:00,https://www.batatagreens.com.hk/,,,,,
甘薯葉,零售,新界,葵涌,大連排道35-41號金基工業大廈7樓E室,22.36407,114.134148,香港葵涌大連排道35號金基工業大廈,,2485 3129,"星期一至六 09:00 - 19:00;
 星期日及公眾假期10:00 - 18:00",https://www.batatagreens.com.hk/,,,,,
珠記冰室,飲食,九龍,觀塘,觀塘開源道46-48號威利廣場地下2-3號舖,22.3089395,114.2232254,香港觀塘開源道48號威利廣場,,34898028,"星期一至六07:30 - 18:00
星期日, 公眾假期全日休息",https://www.openrice.com/zh/hongkong/r-%E7%8F%A0%E8%A8%98%E5%86%B0%E5%AE%A4-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-r487422,https://www.facebook.com/thechukee/,,5/8 罷工; 珠記冰室連儂牆,https://www.facebook.com/thechukee/posts/2401216263494992,
珍煮丹黑糖飲料專賣 - 香港,飲食,香港島,銅鑼灣,銅鑼灣利園山道15號,22.2795285,114.1832337,"Happy Mansion, 13-19 Lee Garden Rd, Causeway Bay, 香港",,55438820,12:00 - 22:00,https://www.facebook.com/jenjudanhk/,,,5/8 罷工,https://www.facebook.com/jenjudanhk/posts/869731480076770,
煮打菜打冷小菜館 ,飲食,香港島,筲箕灣,筲箕灣愛禮街2號愛蝶灣地下23A號舖 ,,,,,27613001,11:00 - 22:30 | 星期三休息,https://www.openrice.com/zh/hongkong/r-%E7%85%AE%E6%89%93%E8%8F%9C%E6%89%93%E5%86%B7%E5%B0%8F%E8%8F%9C%E9%A4%A8-%E7%AD%B2%E7%AE%95%E7%81%A3-%E6%BD%AE%E5%B7%9E%E8%8F%9C-r108100,,,5/8 罷工,,
無肉食,飲食,九龍,旺角,旺角洗衣街88號2樓,22.3194391,114.1718908,香港旺角亞皆老街72-78號康樂大樓,,2889 2938,"星期一至日 11:30 - 15:30, 18:00 - 22:00",https://www.openrice.com/zh/hongkong/r-無肉食-旺角-港式-素食-r557528,,,5/8 參與罷市,https://www.facebook.com/ahimsabuffet/photos/rpp.119559151717871/934043850269393/?type=3&theater,
為食龍,飲食,香港島,銅鑼灣,銅鑼灣耀華街3號百樂中心地下G01號舖,22.2776822,114.1821833,香港鵝頸耀華街3號百樂中心,,3580 2874,星期一至日12:00 am - 8:00pm,https://www.openrice.com/zh/hongkong/r-為食龍-銅鑼灣-日本菜-壽司-刺身-r627926,,,5/8 參與罷市,https://www.facebook.com/hungrydino.hk/photos/a.303184580611707/348547012742130/?type=3&theater,
為食貓士多 ,飲食,新界,粉嶺,粉嶺花都廣場地下A17,,,,,2396 3900,,https://www.facebook.com/406805173111136/photos/a.413963219061998/685820921876225/?type=1&theater,,,提供食水飲品,,
為食貓士多 ,飲食,新界,粉嶺,粉嶺聯和墟海聯廣場地下26,,,,,2396 3900,,https://www.facebook.com/406805173111136/photos/a.413963219061998/685820921876225/?type=1&theater,,,提供食水飲品,,
潮食閣,飲食,新界,葵芳,葵芳葵富路7號葵涌廣場3樓TOP世界3069-T23-T25號舖,22.357912,114.1280366,香港葵芳葵富路7-11號葵涌廣場,,9565 8508,星期一至日 12:00 - 22:00,https://www.openrice.com/zh/hongkong/r-潮食閣-葵芳-港式-r565283,,,5/8 參與罷市,https://www.instagram.com/p/B0nl_kcDpG7/,
潮州人 Ciuzauese,飲食,九龍,太子,太子界限街12A地舖,22.3262472,114.1656026,香港太子界限街12A號興隆大廈,,6536 6626,"星期一至六 12:00 - 23:30; 
星期日 12:00 - 23:00",https://www.facebook.com/潮州人Ciuzauese-304984750013105/,,,"5/8 罷工; 
請食飯","請食飯: https://www.facebook.com/304984750013105/posts/637172570127653?

85罷工: https://www.facebook.com/304984750013105/posts/636547596856817?",
渣哥 一九九六 銅鑼灣店,飲食,香港島,銅鑼灣,銅鑼灣渣甸街30號B舖地下                      ,22.2797498,114.1851092,香港銅鑼灣渣甸街30-34號渣甸街30-34號,,N/A,星期一至日  8:00am-8:00pm,https://zh-hk.facebook.com/JarGor1996/,,Y,5/8 支援示威,https://www.facebook.com/JarGor1996/posts/2387044391373588,
渣哥 一九九六 東涌店,飲食,新界,東涌,"東涌港鐵東涌站TUC15號舖
",22.2893738,113.9413574,香港東涌東涌站,,N/A,星期一至日 7:45am-10pm,https://zh-hk.facebook.com/JarGor1996/,,Y,5/8 支援示威,https://www.facebook.com/JarGor1996/posts/2387044391373588,
清心齋,飲食,新界,將軍澳,將軍澳常寧路2號TKO Gateway地下Food Lane EF11號舖,22.3171998,114.2659481,香港坑口重華路8號,,??,星期二至日 11:30pm - 9:00pm,"https://www.openrice.com/zh/hongkong/r-清心齋-將軍澳-粵菜-廣東-素食-r568379
",,,,,
清心齋,飲食,新界,屯門,屯門湖翠路1號蝴蝶邨蝴蝶街市地下M215號舖,22.375828,113.9618561,香港蝴蝶灣蝶景路,,??,星期二至日 11:30pm - 9:00pm,https://www.openrice.com/zh/hongkong/r-清心齋-屯門-粵菜-廣東-素食-r591555,,,,,
清心齋,飲食,新界,沙田,沙田德厚街3號禾輋街市地下M26號舖,22.3879676,114.1945114,香港沙田德厚街3號,,??,星期二至日 11:30pm - 9:00pm,https://www.openrice.com/zh/hongkong/r-清心齋-沙田-粵菜-廣東-素食-r626837,,,,,
清心齋,飲食,九龍,深水埗,深水埗富昌邨南昌薈街市地下105號舖,22.3271941,114.1552116,香港深水埗西村路19號富昌邨富潤樓,,??,星期二至日 11:30pm - 9:00pm,https://www.openrice.com/zh/hongkong/r-清心齋-深水埗-港式-素食-r625841,,,,,
添福小食,飲食,九龍,深水埗,深水埗長沙灣道80-82號文海樓地下A1舖,22.328529,114.1655098,香港塘尾長沙灣道80-82號文海樓,,90158006,星期一全日休息; 星期二至五14:30 - 01:00;星期六至日13:00 - 01:00,https://www.openrice.com/zh/hongkong/r-添福小食-深水埗-港式-漢堡包-r452956,,,【逆權小店】深水埗漢堡包店「唔做警察生意」被藍絲滋擾被迫刪帖 老闆：對唔住大家,https://hk.lifestyle.appledaily.com/etw/magazine/article/20190816/3_59934478/-逆權小店-深水埗漢堡包店-唔做警察生意-被藍絲滋擾被迫刪帖-老闆-對唔住大家,
深燒酒 Midnight Wildfire,飲食,香港島,灣仔,鵝頸駱克道397號號,22.279728,114.1801361,香港灣仔駱克道389-399號金禧大廈,,37052556,"星期一至日11:30 - 14:30, 8:00 - 03:00",https://lihkg.com/thread/1483675/page/1,https://www.openrice.com/zh/hongkong/r-深燒酒-灣仔-港式-海鮮-r516560,,5/8 參與罷市,https://www.facebook.com/midnightwildfire.hk/photos/a.1239126149486553/2446512068747949/?type=3&theater,
浪浪抱抱,飲食,香港島,灣仔,灣仔日街1號1樓,22.2765572,114.1684939,香港灣仔日街1號順好樓,,5102 8695,"星期一至日: 13:00-20:00
Irregular Day Off (will be announced on Facebook/IG)",https://hugnhome.wixsite.com/index,,,,,
泰和堂中醫診所,醫療,新界,將軍澳,"將軍澳寶盈花園商場地下S6D鋪
(將軍澳地港鐵站A2出口) (寶盈花園第8座斜對面)  ",22.3064945,114.2623312,香港將軍澳唐俊街11號,,2662 2052,星期一至日9:00 am - 8:00pm,http://www.taiwotonghk.com/,,,,,
